,CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
46901,50077080,BAO TEA HOUSE,Manhattan,140,WEST    4 STREET,10012.0,6468337870,Café/Coffee/Tea,05/07/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,48.0,,,03/12/2021,Pre-permit (Operational) / Initial Inspection,40.731373159252,-74.000313910224,102.0,1.0,6500.0,1008755.0,1005430047.0,MN23
84878,41459923,DUNKIN,Manhattan,2083,LEXINGTON AVENUE,10035.0,6463685906,Donuts,05/23/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,11.0,A,05/23/2017,03/12/2021,Cycle Inspection / Initial Inspection,40.804841273182,-73.937061694761,111.0,9.0,19600.0,1054478.0,1017740020.0,MN34
221591,50066281,ROCKY'S PIZZA 14TH STREET CORP,Manhattan,304 310,W 14TH ST,,2122422345,Pizza,09/12/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,26.0,B,09/12/2017,03/12/2021,Pre-permit (Operational) / Re-inspection,0.0,0.0,,,,,1.0,
270815,41358275,NAPOLI'S BEST PIZZA,Bronx,521,EAST TREMONT AVENUE,10457.0,7182990759,Pizza,04/20/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,12.0,A,04/20/2019,03/12/2021,Cycle Inspection / Re-inspection,40.8467185897,-73.89647868021301,206.0,15.0,39500.0,2011437.0,2030430077.0,BX01
358468,41298880,BURGER KING,Bronx,1851,BRUCKNER BOULEVARD,10472.0,7189316773,Hamburgers,06/14/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,7.0,A,06/14/2016,03/12/2021,Cycle Inspection / Re-inspection,40.825908152693,-73.862618306538,209.0,18.0,4400.0,2094844.0,2037300100.0,BX55
178480,40977209,WAVERLY RESTAURANT,Manhattan,385,6 AVENUE,10014.0,2126753181,American,03/04/2020,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,12.0,A,03/04/2020,03/12/2021,Cycle Inspection / Initial Inspection,40.733028252939,-73.999996391747,102.0,3.0,7100.0,1010274.0,1005930028.0,MN23
280831,50071859,KING'S WOK KITCHEN,Bronx,6669,BROADWAY,10471.0,7186017777,Chinese,11/28/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,3.0,A,11/28/2017,03/12/2021,Pre-permit (Operational) / Initial Inspection,40.910558289926,-73.89662125112899,208.0,11.0,34300.0,2085718.0,2058881556.0,BX22
207025,41086967,IL SOLE,Manhattan,229233,DYCKMAN STREET,,2125440406,Italian,05/22/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,21.0,,,03/12/2021,Cycle Inspection / Initial Inspection,0.0,0.0,,,,,1.0,
118069,41396652,STAND 224,Bronx,1,EAST  161 STREET,10451.0,9172843266,American,08/14/2019,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,11.0,A,08/14/2019,03/12/2021,Cycle Inspection / Initial Inspection,40.829028434834,-73.928496459645,204.0,16.0,6300.0,2114490.0,2024930001.0,BX63
356607,40564625,WAKAMBA,Manhattan,543,8 AVENUE,10018.0,2125642042,American,05/30/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13.0,A,05/30/2019,03/12/2021,Cycle Inspection / Re-inspection,40.754253219151,-73.99196906808601,104.0,3.0,11100.0,1013621.0,1007610032.0,MN13
203809,50076290,TORO LOCO,Manhattan,15,STONE STREET,10004.0,9172620444,Mexican,07/01/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,13.0,,,03/12/2021,Cycle Inspection / Initial Inspection,40.704026400878,-74.012067943443,101.0,1.0,900.0,1000040.0,1000117501.0,MN25
209238,50035745,HAPPY LAND,Bronx,2028,JEROME AVENUE,10453.0,7182995050,Chinese,10/24/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,27.0,B,10/24/2017,03/12/2021,Cycle Inspection / Re-inspection,40.853288147956,-73.907800828988,205.0,14.0,24100.0,2008268.0,2028540039.0,BX41
124046,50009899,CASA ADELA RESTAURANT,Manhattan,66,AVENUE C,10009.0,2124731882,Latin American (Central and South America),01/30/2017,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,18.0,B,01/30/2017,03/12/2021,Cycle Inspection / Re-inspection,40.722761050489,-73.97980412076801,103.0,2.0,2601.0,1004413.0,1003740006.0,MN28
112709,41476556,POPEYES,Queens,165-25,LIBERTY AVENUE,11433.0,7185234233,Chicken,08/16/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,15.0,,,03/12/2021,Cycle Inspection / Initial Inspection,40.702223564768,-73.79151424691999,412.0,27.0,44400.0,4216231.0,4101550069.0,QN61
139977,41687706,SAL'S PIZZA,Queens,20-07,127 STREET,11356.0,7189393900,Italian,08/28/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,27.0,,,03/12/2021,Cycle Inspection / Initial Inspection,40.781448797836,-73.84141334576,407.0,19.0,91900.0,4099328.0,4041720007.0,QN23
290058,40516149,AZUSA OF JAPAN,Manhattan,3,EAST   44 STREET,10017.0,2126810001,Japanese,09/10/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,43.0,,,03/12/2021,Cycle Inspection / Initial Inspection,40.754649679502,-73.979613943908,105.0,4.0,9400.0,1035367.0,1012790006.0,MN17
148396,50050434,COCO,Brooklyn,8612,5 AVENUE,11209.0,9292922313,Café/Coffee/Tea,10/18/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,13.0,A,10/18/2016,03/12/2021,Pre-permit (Operational) / Initial Inspection,40.621337566528,-74.026353639344,310.0,43.0,16000.0,3153552.0,3060450040.0,BK31
322110,40700664,PHO BANG RESTAURANT,Manhattan,157,MOTT STREET,10013.0,2129663797,Vietnamese/Cambodian/Malaysia,01/02/2020,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,10.0,A,01/02/2020,03/12/2021,Cycle Inspection / Initial Inspection,40.719430622582,-73.99633837281901,102.0,1.0,4100.0,1006991.0,1004710051.0,MN24
251008,41527114,MERCHANTS RIVER HOUSE,Manhattan,375,SOUTH END AVENUE,10280.0,2124321451,American,07/24/2017,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,8.0,A,07/24/2017,03/12/2021,Cycle Inspection / Initial Inspection,40.711236441184,-74.015925210938,101.0,1.0,31704.0,1083375.0,1000160100.0,MN25
351476,41424963,UNCLE LOUIE G’S ITALIAN ICES & ICE CREAM,Brooklyn,741,UNION STREET,11215.0,7186236668,"Ice Cream, Gelato, Yogurt, Ices",02/14/2018,Violations were cited in the following area(s).,16E,"Caloric content range (minimum to maximum) not posted on menus and or menu boards for each flavor, variety and size of each menu item that is offered for sale in different flavors, varieties and sizes.",N,,,,03/12/2021,Calorie Posting / Re-inspection,40.676196015137,-73.979897589866,306.0,39.0,13100.0,3019760.0,3009530001.0,BK37
272014,50079095,BROTHER JIMMY'S BBQ,Manhattan,181,LEXINGTON AVENUE,10016.0,2127797427,Barbecue,03/10/2020,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,12.0,A,03/10/2020,03/12/2021,Cycle Inspection / Re-inspection,40.744623305187,-73.98099922629301,106.0,2.0,7200.0,1078756.0,1008870030.0,MN20
353319,41005946,MIKE'S OAKWOOD DINER,Staten Island,3161,AMBOY ROAD,10306.0,7186681570,American,07/24/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,37.0,,,03/12/2021,Cycle Inspection / Initial Inspection,40.563656260163995,-74.132517811359,503.0,51.0,14606.0,5107641.0,5044720001.0,SI54
367510,41505645,GOOD CHINESE RESTAURANT,Brooklyn,663,KNICKERBOCKER AVENUE,11221.0,7183667829,Chinese,07/11/2019,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,24.0,B,07/11/2019,03/12/2021,Cycle Inspection / Re-inspection,40.695050598206,-73.91174208537501,304.0,37.0,43500.0,3077324.0,3033780010.0,BK77
173497,40983698,YUCA BAR & RESTAURANT,Manhattan,111,AVENUE A,10009.0,2129829533,Latin American (Central and South America),10/03/2018,Violations were cited in the following area(s).,10C,"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms.",N,13.0,A,10/03/2018,03/12/2021,Cycle Inspection / Re-inspection,40.726143190791,-73.983475912993,103.0,2.0,3200.0,1077644.0,1004350037.0,MN22
82082,41289885,LA PRECIOSA CHINA RESTAURANT,Manhattan,163,EAST  116 STREET,10029.0,2123693921,Chinese,11/06/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,10.0,A,11/06/2019,03/12/2021,Cycle Inspection / Re-inspection,40.798352021984,-73.940975830897,111.0,8.0,18200.0,1052294.0,1016440027.0,MN34
230533,50005257,DUNKIN,Brooklyn,527,METROPOLITAN AVENUE,11211.0,7187820175,Donuts,05/26/2017,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,12.0,A,05/26/2017,03/12/2021,Cycle Inspection / Re-inspection,40.714067909828,-73.950988657221,301.0,34.0,50100.0,3068665.0,3027560046.0,BK90
300925,41271436,MATSUNOYA,Manhattan,131,EAST   45 STREET,10017.0,6466928143,Japanese,04/30/2019,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Y,10.0,A,04/30/2019,03/12/2021,Cycle Inspection / Re-inspection,40.753229574189,-73.974312242029,106.0,4.0,9200.0,1081160.0,1013000122.0,MN19
327557,41173497,KAZUZA,Manhattan,107,AVENUE A,10009.0,2125059300,Middle Eastern,04/11/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12.0,A,04/11/2018,03/12/2021,Cycle Inspection / Re-inspection,40.725904420946996,-73.983649150009,103.0,2.0,3200.0,1005792.0,1004347504.0,MN22
56980,41187577,HANSOL NUTRITION CENTER,Queens,160-26,NORTHERN BOULEVARD,11358.0,7188880200,Korean,02/27/2020,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,13.0,A,02/27/2020,03/12/2021,Cycle Inspection / Re-inspection,40.762775385515,-73.805229237206,407.0,20.0,117100.0,4120448.0,4053350061.0,QN51
297268,50018993,CROWN FRIED CHICKEN,Brooklyn,399,MOTHER GASTON BOULEVARD,11212.0,3474057162,Chicken,07/14/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,23.0,,,03/12/2021,Cycle Inspection / Initial Inspection,40.669391236584,-73.906769103211,316.0,41.0,90800.0,3083886.0,3037260005.0,BK81
108041,41575509,VILLA BRAZIL CAFE GRILL,Queens,43-16,34 AVENUE,11101.0,9173964087,Brazilian,06/20/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,18.0,,,03/12/2021,Cycle Inspection / Initial Inspection,40.755443063390004,-73.918263487405,401.0,26.0,15900.0,4012326.0,4007030130.0,QN70
264054,41563537,BENITO ONE,Manhattan,174,MULBERRY STREET,10013.0,2122269171,Italian,05/14/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,16.0,,,03/12/2021,Cycle Inspection / Initial Inspection,40.720237601521,-73.996926360317,102.0,1.0,4100.0,1006978.0,1004710034.0,MN24
14849,41623190,MIKE'S NOODLE HOUSE,Manhattan,80,NASSAU STREET,10038.0,2129644625,Asian,12/28/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12.0,A,12/28/2017,03/12/2021,Cycle Inspection / Initial Inspection,40.709815468922,-74.008119339196,101.0,1.0,1502.0,1001201.0,1000787503.0,MN25
89773,40392939,JACKSON HOUSE RESTAURANT,Queens,82-14,37 AVENUE,11372.0,7186396201,American,12/12/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,27.0,,,03/12/2021,Cycle Inspection / Initial Inspection,40.749753916182,-73.884073654202,403.0,21.0,28300.0,4036194.0,4014700006.0,QN28
86338,41600011,"CAFE ON 5TH, STERLING AFFAIR",Manhattan,1216,FIFTH AVENUE,10029.0,2128227229,American,12/04/2017,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,15.0,,,03/12/2021,Cycle Inspection / Initial Inspection,40.792093712778,-73.95217333934,111.0,8.0,16800.0,1051496.0,1016080069.0,MN33
246193,40886613,D'ANGELO'S PIZZERIA AND RESTAURANT,Queens,63-27,108 STREET,11375.0,7184596074,Pizza,03/19/2018,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,12.0,A,03/19/2018,03/12/2021,Cycle Inspection / Re-inspection,40.734187599668005,-73.850240359111,406.0,29.0,74300.0,4051565.0,4021680001.0,QN17
99508,40977865,BOBBY VAN'S STEAKHOUSE,Manhattan,131,EAST   54 STREET,10022.0,2122078050,Steak,10/22/2018,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Y,18.0,,,03/12/2021,Cycle Inspection / Initial Inspection,40.759190398067005,-73.97098181274801,105.0,4.0,10000.0,1071461.0,1013097502.0,MN19
355121,41034123,POLLOS MARIO,Queens,86-13,ROOSEVELT AVENUE,11372.0,7182057777,Latin American (Central and South America),03/15/2018,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,26.0,,,03/12/2021,Cycle Inspection / Initial Inspection,40.748053420927,-73.87995867161399,403.0,21.0,27900.0,4036259.0,4014740037.0,QN28
47577,50063693,TAQUERIA HUARACHE,Bronx,16,EAST MOUNT EDEN AVENUE,10452.0,7182107948,Mexican,09/11/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,24.0,,,03/12/2021,Cycle Inspection / Initial Inspection,40.844164223081,-73.914344575706,204.0,14.0,20900.0,2008139.0,2028460032.0,BX63
111773,40367164,NEW FLORIDIAN DINER,Brooklyn,2301,FLATBUSH AVENUE,11234.0,7183771895,American,04/16/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,19.0,,,03/12/2021,Cycle Inspection / Initial Inspection,40.613881826161,-73.927186236571,318.0,46.0,67200.0,3240573.0,3085100011.0,BK58
